unicode_id,sign_grapheme,transliteration
U+12251,𒉑,nim × gar + gan₂ tenu
U+12252,𒉒,ninda₂
U+12253,𒉓,ninda₂ × an
U+12254,𒉔,ninda₂ × ash
U+12255,𒉕,ninda₂ × ash + ash
U+12256,𒉖,ninda₂ × gud
U+12257,𒉗,ninda₂ × me + gan₂ tenu
U+12258,𒉘,ninda₂ × ne
U+12259,𒉙,ninda₂ × nun
U+1225A,𒉚,ninda₂ × she
U+1225B,𒉛,ninda₂ × she + a an
U+1225C,𒉜,ninda₂ × she + ash
U+1225D,𒉝,ninda₂ × she + ash + ash
U+1225E,𒉞,ninda₂ × u₂ + ash
U+1225F,𒉟,ninda₂ × ush
U+12260,𒉠,nisag
U+12261,𒉡,nu
U+12262,𒉢,nu₁₁
U+12263,𒉣,nun
U+12264,𒉤,nun lagar × gar
U+12265,𒉥,nun lagar × mash
U+12266,𒉦,nun lagar × sal
U+12267,𒉧,nun lagar × sal / nun lagar × sal
U+12268,𒉨,nun lagar × ush
U+12269,𒉩,nun tenu
U+1226A,𒉪,nun / nun
U+1226B,𒉫,nun crossing nun
U+1226C,𒉬,nun crossing nun lagar / lagar
U+1226D,𒉭,nunuz
U+1226E,𒉮,nunuz ab₂ × ashgab
U+1226F,𒉯,nunuz ab₂ × bi
U+12270,𒉰,nunuz ab₂ × dug
U+12271,𒉱,nunuz ab₂ × gud
U+12272,𒉲,nunuz ab₂ × igi gunu
U+12273,𒉳,nunuz ab₂ × kad₃
U+12274,𒉴,nunuz ab₂ × la
U+12275,𒉵,nunuz ab₂ × ne
U+12276,𒉶,nunuz ab₂ × sila₃
U+12277,𒉷,nunuz ab₂ × u₂
U+12278,𒉸,nunuz kisim₅ × bi
U+12279,𒉹,nunuz kisim₅ × bi u
U+1227A,𒉺,pa
U+1227B,𒉻,pad
U+1227C,𒉼,pan
U+1227D,𒉽,pap
U+1227E,𒉾,pesh₂
U+1227F,𒉿,pi
U+12280,𒊀,pi × a
U+12281,𒊁,pi × ab
U+12282,𒊂,pi × bi
U+12283,𒊃,pi × bu
U+12284,𒊄,pi × e
U+12285,𒊅,pi × i
U+12286,𒊆,pi × ib
U+12287,𒊇,pi × u
U+12288,𒊈,pi × u₂
U+12289,𒊉,pi crossing pi
U+1228A,𒊊,pirig
U+1228B,𒊋,pirig × kal
U+1228C,𒊌,pirig × ud
U+1228D,𒊍,pirig × za
U+1228E,𒊎,pirig opposing pirig
U+1228F,𒊏,ra
U+12290,𒊐,rab
U+12291,𒊑,ri
U+12292,𒊒,ru
U+12293,𒊓,sa
U+12294,𒊔,sag nutillu
U+12295,𒊕,sag
U+12296,𒊖,sag × a
U+12297,𒊗,sag × du
U+12298,𒊘,sag × dub
U+12299,𒊙,sag × ha
U+1229A,𒊚,sag × kak
U+1229B,𒊛,sag × kur
U+1229C,𒊜,sag × lum
U+1229D,𒊝,sag × mi
U+1229E,𒊞,sag × nun
U+1229F,𒊟,sag × sal
U+122A0,𒊠,sag × shid
U+122A1,𒊡,sag × tab
U+122A2,𒊢,sag × u₂
U+122A3,𒊣,sag × ub
U+122A4,𒊤,sag × um
U+122A5,𒊥,sag × ur
U+122A6,𒊦,sag × ush
U+122A7,𒊧,sag / sag
U+122A8,𒊨,sag gunu
U+122A9,𒊩,sal
U+122AA,𒊪,sal lagab × ash₂
U+122AB,𒊫,sanga₂
U+122AC,𒊬,sar
U+122AD,𒊭,sha
U+122AE,𒊮,sha₃
U+122AF,𒊯,sha₃ × a
U+122B0,𒊰,sha₃ × bad
U+122B1,𒊱,sha₃ × gish
U+122B2,𒊲,sha₃ × ne
U+122B3,𒊳,sha₃ × shu₂
U+122B4,𒊴,sha₃ × tur
U+122B5,𒊵,sha₃ × u
U+122B6,𒊶,sha₃ × u + a
U+122B7,𒊷,sha₆
U+122B8,𒊸,shab₆
U+122B9,𒊹,shar₂
U+122BA,𒊺,she
U+122BB,𒊻,she hu
U+122BC,𒊼,she / she gad / gad gar / gar
U+122BD,𒊽,she / she tab / tab gar / gar
U+122BE,𒊾,sheg₉
U+122BF,𒊿,shen
U+122C0,𒋀,shesh
U+122C1,𒋁,shesh₂
U+122C2,𒋂,sheshlam
U+122C3,𒋃,shid
U+122C4,𒋄,shid × a
U+122C5,𒋅,shid × im
U+122C6,𒋆,shim
U+122C7,𒋇,shim × a
U+122C8,𒋈,shim × bal
U+122C9,𒋉,shim × bulug
U+122CA,𒋊,shim × din
U+122CB,𒋋,shim × gar
U+122CC,𒋌,shim × igi
U+122CD,𒋍,shim × igi gunu
U+122CE,𒋎,shim × kushu₂
U+122CF,𒋏,shim × lul
U+122D0,𒋐,shim × mug
U+122D1,𒋑,shim × sal
U+122D2,𒋒,shinig
U+122D3,𒋓,shir
U+122D4,𒋔,shir tenu
U+122D5,𒋕,shir / shir bur / bur
U+122D6,𒋖,shita
U+122D7,𒋗,shu
U+122D8,𒋘,shu / inv. shu
U+122D9,𒋙,shu₂
